2024-04-24 19:56:41.922252 - Среднеквадратическое отклонение (MSE): 0.21210996806621552. Спектрограммы, в промежутке от 82 до 84 секунд видео, совпадают.
2024-04-24 19:56:43.485210 - Среднеквадратическое отклонение (MSE): 0.2631651759147644. Спектрограммы, в промежутке от 84 до 86 секунд видео, совпадают.
2024-04-24 19:56:45.031947 - Среднеквадратическое отклонение (MSE): 0.33463162183761597. Спектрограммы, в промежутке от 86 до 88 секунд видео, совпадают.
2024-04-24 19:56:46.592446 - Среднеквадратическое отклонение (MSE): 0.3314524292945862. Спектрограммы, в промежутке от 88 до 90 секунд видео, совпадают.
2024-04-24 19:56:48.151943 - Среднеквадратическое отклонение (MSE): 0.34602484107017517. Спектрограммы, в промежутке от 90 до 92 секунд видео, совпадают.
2024-04-24 19:56:49.725656 - Среднеквадратическое отклонение (MSE): 0.4425792992115021. Спектрограммы, в промежутке от 92 до 94 секунд видео, совпадают.
2024-04-24 19:56:51.279579 - Среднеквадратическое отклонение (MSE): 0.4377860128879547. Спектрограммы, в промежутке от 94 до 96 секунд видео, совпадают.
2024-04-24 19:56:52.856767 - Среднеквадратическое отклонение (MSE): 0.4765695035457611. Спектрограммы, в промежутке от 96 до 98 секунд видео, совпадают.
2024-04-24 19:56:54.419528 - Среднеквадратическое отклонение (MSE): 0.31122854351997375. Спектрограммы, в промежутке от 98 до 100 секунд видео, совпадают.
2024-04-24 19:56:55.990590 - Среднеквадратическое отклонение (MSE): 0.43879684805870056. Спектрограммы, в промежутке от 100 до 102 секунд видео, совпадают.
2024-04-24 19:56:57.563108 - Среднеквадратическое отклонение (MSE): 0.3333793878555298. Спектрограммы, в промежутке от 102 до 104 секунд видео, совпадают.
2024-04-24 19:56:59.116357 - Среднеквадратическое отклонение (MSE): 0.2647813558578491. Спектрограммы, в промежутке от 104 до 106 секунд видео, совпадают.
2024-04-24 19:57:00.672156 - Среднеквадратическое отклонение (MSE): 0.337413489818573. Спектрограммы, в промежутке от 106 до 108 секунд видео, совпадают.
2024-04-24 19:57:02.246725 - Среднеквадратическое отклонение (MSE): 0.3790861666202545. Спектрограммы, в промежутке от 108 до 110 секунд видео, совпадают.
2024-04-24 19:57:03.797742 - Среднеквадратическое отклонение (MSE): 0.2418137788772583. Спектрограммы, в промежутке от 110 до 112 секунд видео, совпадают.
2024-04-24 19:57:05.362909 - Среднеквадратическое отклонение (MSE): 0.2883085310459137. Спектрограммы, в промежутке от 112 до 114 секунд видео, совпадают.
2024-04-24 19:57:06.932885 - Среднеквадратическое отклонение (MSE): 0.3330380916595459. Спектрограммы, в промежутке от 114 до 116 секунд видео, совпадают.
2024-04-24 19:57:08.473733 - Среднеквадратическое отклонение (MSE): 0.3553709387779236. Спектрограммы, в промежутке от 116 до 118 секунд видео, совпадают.
2024-04-24 19:57:10.018425 - Среднеквадратическое отклонение (MSE): 0.3799434304237366. Спектрограммы, в промежутке от 118 до 120 секунд видео, совпадают.
2024-04-24 19:57:11.575996 - Среднеквадратическое отклонение (MSE): 0.35116899013519287. Спектрограммы, в промежутке от 120 до 122 секунд видео, совпадают.
2024-04-24 19:57:13.122638 - Среднеквадратическое отклонение (MSE): 0.432181179523468. Спектрограммы, в промежутке от 122 до 124 секунд видео, совпадают.
2024-04-24 19:57:14.671941 - Среднеквадратическое отклонение (MSE): 0.29799044132232666. Спектрограммы, в промежутке от 124 до 126 секунд видео, совпадают.
2024-04-24 19:57:16.221806 - Среднеквадратическое отклонение (MSE): 0.20748451352119446. Спектрограммы, в промежутке от 126 до 128 секунд видео, совпадают.
2024-04-24 19:57:17.800373 - Среднеквадратическое отклонение (MSE): 0.3247729539871216. Спектрограммы, в промежутке от 128 до 130 секунд видео, совпадают.
2024-04-24 19:57:19.384681 - Среднеквадратическое отклонение (MSE): 0.3483380675315857. Спектрограммы, в промежутке от 130 до 132 секунд видео, совпадают.
2024-04-24 19:57:20.947948 - Среднеквадратическое отклонение (MSE): 0.4154336452484131. Спектрограммы, в промежутке от 132 до 134 секунд видео, совпадают.
2024-04-24 19:57:22.542916 - Среднеквадратическое отклонение (MSE): 0.47796690464019775. Спектрограммы, в промежутке от 134 до 136 секунд видео, совпадают.
2024-04-24 19:57:24.092649 - Среднеквадратическое отклонение (MSE): 0.33343756198883057. Спектрограммы, в промежутке от 136 до 138 секунд видео, совпадают.
2024-04-24 19:57:25.636300 - Среднеквадратическое отклонение (MSE): 0.36519381403923035. Спектрограммы, в промежутке от 138 до 140 секунд видео, совпадают.
2024-04-24 19:57:27.195073 - Среднеквадратическое отклонение (MSE): 0.4039192199707031. Спектрограммы, в промежутке от 140 до 142 секунд видео, совпадают.
